管理No,入荷日,入荷店舗,仕入元,担当者,モデル,ストレージ,ランク,バッテリー%,カメラ窓,カメラ染み,NW制限,非正規修理,IMEI,買取価格,修理パーツ原価,販売原価,販売価格,在庫ステータス,ECステータス,販売日,販売チャネル,販売担当者,備考,最終価格更新日時
3929,2025/02/16,福井店,店舗 (ベル),,11Pro,256,良品,~79%,◯,◯,◯,,353830100203929,24600,1100,25700,47980,販売済,S出品済,2025/6/6,店舗 (ベル),龍田,33.80%,
9613,2025/02/16,福井店,ウェブ,,XR,64,美品,~79%,◯,◯,◯,,357370092139613,12600,803,13403,15255,販売済,SM出品済,2025/10/4,メルカリ,,-3.90%,
2234,2025/02/19,福井店,店舗 (ベル),,12ProMax,128,美品,80%~89%,破損有り,◯,◯,,356721117962234,51200,0,51200,59980,販売済,SM出品済,2025/6/15,メルカリ,,2.40%,
3537,2025/02/19,福井店,店舗 (ベル),,12,128,美品,80%~89%,◯,◯,◯,,355917845683537,36000,0,36000,39980,販売済,SM出品済,2025/6/15,店舗 (ベル),堀,-2.90%,
5907,2025/02/20,福井店,ウェブ,,11,64,並品,~79%,◯,染み有り,◯,,353974640245907,10400,0,11225,18980,販売済,SM出品済,2025/7/11,メルカリ,,25.90%,
3643,2025/02/20,福井店,店舗 (ベル),,SE2,64,美品,80%~89%,◯,◯,◯,,356794116713643,12600,548,13148,17980,販売済,M出品済,2025/6/2,店舗 (ベル),堀,11.60%,
7183,2025/02/18,福井店,ウェブ,,11,64,良品,~79%,◯,◯,◯,,352990101317183,15600,0,16425,21980,販売済,M出品済,2025/7/5,メルカリ,,10.50%,
882,2025/02/24,福井店,店舗 (ベル),,12,128,リペア品,~79%,◯,染み有り,◯,,353048115800882,0,4840,8250,24980,販売済,M出品済,2025/7/6,メルカリ,,52.80%,
1979,2025/02/24,福井店,ウェブ,,12Pro,128,美品,~79%,◯,染み有り,◯,,356686117191979,27600,825,28425,49980,販売済,S出品済,2025/6/17,店舗 (ベル),堀,30.60%,
4866,2025/02/27,福井店,ウェブ,,12,256,良品,~79%,◯,◯,◯,,353049118614866,25200,0,26025,43980,販売済,SM出品済,2025/6/29,店舗 (ベル),土本,28.00%,
6135,2025/02/27,福井店,ウェブ,,11,64,並品,~79%,◯,染み有り,◯,,352922110766135,10400,0,11225,18780,販売済,SM出品済,2025/7/6,メルカリ,,25.10%,
8924,2025/02/27,福井店,ウェブ,,XR,64,並品,80%~89%,◯,染み有り,◯,,353052100668924,12600,0,12600,16980,販売済,SM出品済,2025/9/2,店舗 (ベル),堀,10.20%,
2539,2025/03/09,福井店,,,SE2,128,美品,80%~89%,◯,◯,◯,,356106840882539,11200,548,14137,23980,販売済,S出品済,2025/5/2,店舗 (ベル),堀,26.70%,
9983,2025/03/10,鯖江店,ウェブ,,13mini,256,美品,~79%,◯,◯,◯,,354084991909983,41600,825,42425,61800,販売済,SM出品済,2025/10/4,店舗 (鯖江),土本,19.10%,
8650,2025/03/11,福井店,ウェブ,,XSMax,256,リペア品,~79%,◯,◯,◯,,357305092158650,18600,0,18600,24980,販売済,SM出品済,2025/6/30,メルカリ,,11.30%,
1916,2025/03/16,福井店,ウェブ,,15Pro,128,美品,80%~89%,◯,◯,◯,,354230911611916,101640,0,101640,124980,販売済,SM出品済,2025/7/2,Shopify,,7.00%,
1086,2025/03/16,福井店,店舗 (ベル),,SE2,64,美品,80%~89%,◯,◯,◯,,354356423511086,12600,0,12600,17980,販売済,未出品,2025/6/19,店舗 (ベル),堀,14.60%,
4961,2025/03/16,鯖江店,店舗 (ベル),,SE2,128,良品,~79%,◯,◯,◯,,356106841494961,10200,548,10748,23618,販売済,SM出品済,2025/8/12,店舗 (鯖江),龍田,40.30%,
4124,2025/03/19,福井店,店舗 (ベル),,12Pro,256,美品,~79%,◯,◯,◯,,356687111294124,41600,825,42425,57980,販売済,SM出品済,2025/6/23,店舗 (ベル),堀,14.50%,
8718,2025/03/22,鯖江店,店舗 (ベル),,12mini,128,美品,80%~89%,◯,染み有り,◯,,353016111438718,22400,0,22400,39073,販売済,SM出品済,2025/8/28,店舗 (鯖江),龍田,29.60%,
3354,2025/03/23,福井店,店舗 (ベル),,8,64,美品,~79%,◯,◯,◯,,356094097373354,7200,0,7637,13980,販売済,SM出品済,2025/5/21,メルカリ,,28.60%,
1131,2025/03/23,福井店,店舗 (ベル),,11,64,並品,80%~89%,◯,染み有り,◯,,351174779311131,10400,0,10400,17980,販売済,SM出品済,2025/6/23,メルカリ,,26.90%,
3558,2025/03/24,福井店,店舗 (ベル),,12,64,良品,~79%,◯,◯,◯,,354047645203558,19200,0,20025,32980,販売済,未出品,2025/6/10,,,25.80%,
2617,2025/03/24,福井店,店舗 (ベル),,SE2,64,美品,80%~89%,◯,◯,◯,,356789117582617,12600,0,12600,17980,販売済,S出品済,2025/6/5,店舗 (ベル),堀,14.60%,
5096,2025/03/26,福井店,店舗 (ベル),,SE2,64,美品,~79%,◯,◯,◯,,356499102965096,11200,548,11748,17980,販売済,SM出品済,2025/7/9,店舗 (ベル),堀,19.40%,
6292,2025/03/27,福井店,店舗 (ベル),,SE2,64,美品,~79%,◯,◯,◯,,354854623036292,11200,548,11748,17980,販売済,SM出品済,2025/7/21,店舗 (ベル),堀,19.40%,
5808,2025/03/29,福井店,店舗 (ベル),,8,64,美品,80%~89%,◯,◯,◯,,356094094035808,8100,0,8100,11980,販売済,未出品,2025/6/24,店舗 (ベル),,14.50%,
8622,2025/04/02,鯖江店,店舗 (ベル),,SE2,64,美品,80%~89%,◯,◯,◯,,354430716158622,12600,0,12600,19980,販売済,SM出品済,2025/9/1,Shopify,,22.20%,
9735,2025/04/02,福井店,店舗 (ベル),,XS,64,良品,~79%,◯,◯,◯,,357234096939735,12600,1100,13700,15436,販売済,SM出品済,2025/9/24,メルカリ,,-4.60%,
2070,2025/04/03,鯖江店,店舗 (ベル),,12Pro,128,良品,90%~,◯,◯,◯,,358618680472070,43000,0,43000,48164,販売済,SM出品済,2025/9/3,店舗 (鯖江),土本,1.50%,
7566,2025/04/03,福井店,店舗 (ベル),,12mini,128,良品,~79%,◯,◯,◯,,353010116957566,19200,792,19992,31800,販売済,SM出品済,2025/9/16,Shopify,,23.80%,
9423,2025/04/05,鯖江店,ウェブ,,8,64,良品,~79%,◯,◯,◯,,356730086419423,5400,0,5837,9073,販売済,SM出品済,2025/9/10,メルカリ,,16.40%,
8633,2025/04/07,福井店,ウェブ,,13,128,美品,80%~89%,◯,◯,◯,,354833964998633,44100,1300,45400,58980,販売済,S出品済,2025/6/16,Shopify,,10.70%,
5482,2025/04/07,福井店,店舗 (ベル),,8,64,良品,~79%,◯,◯,◯,,356095092705482,5400,0,5837,9980,販売済,S出品済,2025/6/20,店舗 (ベル),龍田,23.00%,
1614,2025/04/10,福井店,ウェブ,,SE3,64,良品,~79%,◯,◯,◯,,350737734771614,25000,825,25825,33980,販売済,SM出品済,2025/6/29,メルカリ,,10.60%,
7609,2025/04/10,福井店,店舗 (ベル),,12mini,64,良品,~79%,◯,◯,◯,,353011116687609,16200,792,16992,30480,販売済,SM出品済,2025/8/12,店舗 (ベル),堀,30.60%,
694,2025/04/13,鯖江店,ウェブ,,SE3,64,良品,80%~89%,◯,◯,◯,,359968974650694,19600,825,20425,33980,販売済,SM出品済,2025/8/6,店舗 (鯖江),龍田,26.50%,
9602,2025/04/13,福井店,店舗 (ベル),,8,64,リペア品,~79%,◯,◯,◯,,356098093629602,3600,2417,6017,9073,販売済,S出品済,2025/8/28,Shopify,,14.40%,
6088,2025/04/13,福井店,店舗 (ベル),,12ProMax,128,並品,80%~89%,◯,◯,◯,,356725111836088,44800,0,44800,53081,販売済,SM出品済,2025/7/19,店舗 (ベル),堀,3.10%,
8255,2025/04/14,鯖江店,ウェブ,,SE3,64,良品,~79%,◯,◯,◯,,351153484858255,26900,825,27725,34527,販売済,SM出品済,2025/8/24,店舗 (鯖江),龍田,6.50%,
8297,2025/04/14,福井店,ウェブ,,SE2,64,良品,~79%,◯,◯,◯,,356711113928297,23000,2528,25528,17980,販売済,M出品済,2025/8/16,店舗 (ベル),堀,-57.30%,
6646,2025/04/13,福井店,ウェブ,,SE3,64,良品,~79%,◯,◯,◯,,358974866796646,27000,825,27825,33980,販売済,SM出品済,2025/8/15,店舗 (ベル),堀,4.70%,
6694,2025/04/16,鯖江店,ウェブ,,SE3,64,並品,80%~89%,◯,◯,◯,,351153480416694,19600,825,20425,29073,販売済,M出品済,2025/10/5,店舗 (鯖江),土本,16.20%,
9067,2025/04/17,鯖江店,ウェブ,,XS,256,美品,~79%,◯,染み有り,◯,,357235097559067,14400,0,14400,24980,販売済,SM出品済,2025/8/8,店舗 (鯖江),龍田,27.60%,
8231,2025/04/17,福井店,店舗 (ベル),,SE2,64,良品,~79%,◯,◯,◯,,356792116498231,8400,548,8948,17980,販売済,SM出品済,2025/7/7,メルカリ,,34.90%,
2297,2025/04/18,鯖江店,ウェブ,,SE3,64,並品,80%~89%,◯,◯,◯,,359968976602297,19600,825,20425,29073,販売済,SM出品済,2025/9/23,店舗 (鯖江),龍田,16.20%,
2634,2025/04/20,鯖江店,店舗 (ベル),,14ProMax,256,美品,80%~89%,◯,◯,◯,,351643930312634,96300,0,96300,109073,販売済,SM出品済,2025/10/1,店舗 (鯖江),龍田,0.00%,
7002,2025/04/21,鯖江店,店舗 (ベル),,XR,64,良品,80%~89%,◯,◯,◯,,357373098557002,12600,0,12600,19073,販売済,SM出品済,2025/10/9,メルカリ,,-2.60%,
7026,2025/04/21,鯖江店,店舗 (ベル),,8,64,リペア品,90%~,◯,◯,◯,,356098092997026,3600,0,3600,4500,販売済,S出品済,2025/8/11,店舗 (鯖江),龍田,-7.70%,
2852,2025/04/07,福井店,店舗 (鯖江),,SE2,64,美品,90%~,◯,◯,◯,,356743115102852,14000,0,14000,16980,販売済,M出品済,2025/6/10,Shopify,,2.00%,
9551,2025/04/24,福井店,店舗 (ベル),,X,64,並品,80%~89%,◯,◯,◯,,356742088639551,11200,0,11200,13073,販売済,SM出品済,2025/10/30,メルカリ,,-2.90%,
3210,2025/04/25,鯖江店,店舗 (ベル),,SE2,64,良品,80%~89%,◯,◯,◯,,356498101043210,9800,0,9800,17980,販売済,SM出品済,2025/8/28,Shopify,,30.20%,
9849,2025/04/25,鯖江店,ウェブ,,12Pro,256,並品,90%~,◯,◯,◯,,356686112239849,36400,0,36400,54527,販売済,SM出品済,2025/9/7,店舗 (鯖江),土本,20.90%,
3893,2025/04/26,鯖江店,店舗 (ベル),,12mini,128,並品,80%~89%,◯,◯,◯,,353014116333893,12800,5500,18300,27255,販売済,SM出品済,2025/11/30,店舗 (鯖江),龍田,19.10%,
5822,2025/04/26,鯖江店,店舗 (ベル),,12,128,美品,80%~89%,◯,◯,◯,,353045110595822,34200,0,34200,46345,販売済,SM出品済,2025/8/24,店舗 (鯖江),龍田,12.90%,
7045,2025/04/26,鯖江店,店舗 (ベル),,11Pro,256,良品,80%~89%,◯,◯,◯,,353837105207045,28700,0,28700,44545,販売済,SM出品済,2025/8/20,店舗 (鯖江),龍田,23.40%,
8935,2025/04/27,福井店,店舗 (ベル),,SE2,64,美品,80%~89%,◯,◯,◯,,356711115498935,12600,0,12600,17980,販売済,SM出品済,2025/9/6,店舗 (ベル),堀,14.60%,
6704,2025/04/27,鯖江店,店舗 (ベル),,12mini,256,美品,80%~89%,◯,◯,◯,,353012110436704,30600,0,30600,40074,販売済,SM出品済,2025/9/28,店舗 (鯖江),龍田,10.50%,
4961,2025/04/27,鯖江店,店舗 (ベル),,XS,256,並品,~79%,◯,染み有り,◯,,357233093034961,9600,1100,10700,18164,販売済,M出品済,2025/10/13,メルカリ,,26.00%,
8469,2025/04/28,福井店,店舗 (ベル),,SE2,128,良品,~79%,◯,◯,◯,,356742119448469,10200,548,10748,21800,販売済,SM出品済,2025/9/22,店舗 (ベル),土本,36.30%,
5479,2025/04/28,福井店,店舗 (ベル),,12Pro,256,良品,~79%,◯,◯,◯,,356688116205479,31200,825,32025,56980,販売済,SM出品済,2025/7/11,店舗 (ベル),堀,31.40%,
7146,2025/04/28,鯖江店,店舗 (ベル),,SE2,64,良品,~79%,◯,◯,◯,,351777862477146,8400,548,8948,18980,販売済,SM出品済,2025/8/28,Shopify,,37.90%,
9558,2025/04/29,福井店,店舗 (ベル),,8,64,良品,80%~89%,◯,◯,◯,,352995098709558,6300,0,6300,9073,販売済,SM出品済,2025/9/12,メルカリ,,11.30%,
1086,2025/04/30,鯖江店,店舗 (ベル),,12mini,64,良品,80%~89%,◯,◯,◯,,353013113701086,18900,0,18900,26982,販売済,SM出品済,2025/10/23,店舗 (鯖江),堀,16.10%,
283,2025/04/30,福井店,店舗 (ベル),,X,256,リペア品,~79%,◯,染み有り,◯,,356739085330283,7200,990,8190,11980,販売済,M出品済,2025/7/16,メルカリ,,14.50%,
579,2025/04/23,鯖江店,店舗 (ベル),,SE2,64,美品,~79%,◯,◯,◯,,350252265610579,11200,0,11200,20891,販売済,SM出品済,2025/8/14,店舗 (鯖江),土本,31.80%,
200,2025/05/02,福井店,店舗 (ベル),,13Pro,256,良品,80%~89%,破損有り,染み有り,◯,,356310708890200,27600,0,27600,38982,販売済,M出品済,2025/8/22,メルカリ,,16.20%,
6910,2025/05/05,鯖江店,ウェブ,,11,64,良品,90%~,◯,◯,◯,,356812115716910,20800,0,20800,32709,販売済,SM出品済,2025/8/3,店舗 (鯖江),龍田,23.10%,
6623,2025/05/05,福井店,ウェブ,,13,256,美品,~79%,◯,◯,◯,,358184149226623,42400,0,42400,63980,販売済,S出品済,2025/6/7,店舗 (ベル),土本,21.50%,
4962,2025/05/06,鯖江店,店舗 (ベル),,12mini,64,美品,~79%,◯,◯,◯,,353013110804962,21600,792,22392,27273,販売済,SM出品済,2025/11/13,店舗 (鯖江),龍田,3.80%,
7509,2025/05/09,福井店,店舗 (ベル),,SE2,128,リペア品,~79%,◯,◯,◯,,356487109677509,6800,3948,10748,9982,販売済,S出品済,2025/8/25,Shopify,,-15.20%,
8182,2025/05/09,福井店,ウェブ,,13ProMax,256,美品,80%~89%,◯,◯,◯,,351999629368182,74700,0,74700,98980,販売済,未出品,2025/6/19,店舗 (ベル),堀,12.80%,
3761,2025/05/11,福井店,店舗 (ベル),,XS,256,美品,80%~89%,◯,◯,◯,,357237090843761,21600,0,21600,19800,販売済,SM出品済,2025/9/30,メルカリ,,-24.00%,
6982,2025/05/11,鯖江店,店舗 (ベル),,SE2,64,美品,90%~,◯,◯,◯,,351200144806982,14000,0,14000,19980,販売済,S出品済,2025/6/18,Shopify,,15.20%,
9455,2025/05/11,福井店,店舗 (ベル),,XSMax,512,リペア品,~79%,◯,◯,◯,,357307090429455,13200,1045,14245,19980,販売済,SM出品済,2025/7/31,メルカリ,,13.90%,
8115,2025/05/12,福井店,店舗 (ベル),,12,128,並品,~79%,◯,◯,◯,,353050118858115,22800,0,22800,32980,販売済,SM出品済,2025/7/15,,,17.40%,
1647,2025/05/13,福井店,店舗 (ベル),,11,64,リペア品,~79%,◯,染み有り,◯,,353990100011647,10400,0,10400,15780,販売済,M出品済,2025/6/5,メルカリ,,17.90%,
7710,2025/05/13,福井店,店舗 (ベル),,12Pro,256,美品,90%~,◯,◯,◯,,354687771097710,52000,0,52000,59982,販売済,SM出品済,2025/8/11,店舗 (ベル),堀,1.10%,
127,2025/05/14,鯖江店,店舗 (ベル),,12mini,64,並品,~79%,◯,染み有り,◯,,353010112540127,10800,792,11592,25980,販売済,M出品済,2025/9/2,,,41.30%,
8325,2025/05/17,福井店,店舗 (ベル),,13,128,良品,~79%,◯,◯,◯,,354833966098325,29400,0,29400,52980,販売済,S出品済,2025/6/7,店舗 (ベル),土本,32.00%,
9596,2025/05/18,鯖江店,店舗 (ベル),,12,64,並品,80%~89%,◯,染み有り,◯,,353047117139596,16000,0,16000,25436,販売済,SM出品済,2025/8/3,店舗 (鯖江),龍田,23.10%,
9286,2025/05/18,福井店,ウェブ,,12mini,128,良品,~79%,◯,染み有り,◯,,353014117349286,13600,792,14392,35980,販売済,SM出品済,2025/7/21,メルカリ,,46.80%,
5189,2025/05/21,福井店,店舗 (ベル),,SE2,64,良品,~79%,◯,◯,◯,,356796113745189,8400,548,8948,18164,販売済,SM出品済,2025/8/20,店舗 (ベル),土本,35.60%,
4871,2025/05/21,鯖江店,店舗 (ベル),,SE2,64,良品,~79%,◯,◯,◯,,356786113554871,8400,548,8948,18980,販売済,SM出品済,2025/9/1,Shopify,,37.90%,
614,2025/05/21,福井店,店舗 (ベル),,SE2,128,リペア品,~79%,◯,◯,◯,,356499105890614,6800,2528,9328,16346,販売済,SM出品済,2025/8/17,店舗 (鯖江),龍田,27.30%,
3869,2025/5/22,鯖江店,ウェブ,,12Pro,128,美品,~79%,◯,◯,◯,,356689113813869,36800,825,37625,48164,販売済,SM出品済,2025/11/27,店舗 (鯖江),龍田,9.30%,
2350,2025/05/23,鯖江店,店舗 (ベル),,8,64,良品,80%~89%,◯,◯,◯,,356729083302350,6300,0,6300,9073,販売済,SM出品済,2025/9/10,メルカリ,,11.30%,
8772,2025/05/24,福井店,店舗 (ベル),,11,256,良品,80%~89%,◯,染み有り,◯,,353992107778772,13200,0,13200,32980,販売済,S出品済,2025/7/9,店舗 (ベル),堀,46.50%,
3812,2025/05/24,福井店,店舗 (ベル),,8Plus,64,良品,~79%,◯,◯,◯,,356735086423812,3300,1526,4826,12980,販売済,SM出品済,2025/8/17,店舗 (ベル),堀,45.50%,
3113,2025/05/25,福井店,店舗 (ベル),,13,128,リペア品,~79%,◯,◯,◯,,357329386043113,19600,0,19600,35980,販売済,未出品,2025/6/8,店舗 (ベル),堀,32.30%,
2963,2025/05/26,鯖江店,店舗 (ベル),,SE3,128,並品,80%~89%,◯,◯,△,,359983317862963,16500,0,16500,29982,販売済,S出品済,2025/8/19,店舗 (鯖江),堀,31.50%,
2580,2025/05/27,福井店,店舗 (ベル),,16ProMax,256,美品,90%~,◯,◯,◯,,353324838332580,156000,0,156000,154527,販売済,S出品済,2025/11/16,店舗 (ベル),堀,-12.40%,
2915,2025/06/01,福井店,店舗 (ベル),,11,128,リペア品,~79%,◯,染み有り,◯,,353989101212915,9800,0,9800,24528,販売済,SM出品済,2025/8/21,店舗 (ベル),土本,46.00%,
2971,2025/06/04,福井店,店舗 (ベル),,SE3,128,並品,~79%,◯,◯,◯,,355486599592971,16500,825,17325,34980,販売済,S出品済,2025/7/21,店舗 (ベル),土本,37.20%,
9862,2025/06/05,福井店,店舗 (ベル),,SE2,64,並品,~79%,◯,◯,◯,,356795114639862,7000,548,7548,9980,販売済,M出品済,,メルカリ,,5.90%,
8543,2025/06/06,福井店,店舗 (鯖江),,13,128,良品,~79%,◯,◯,◯,,355818451808543,28600,0,28600,52980,販売済,未出品,2025/7/7,店舗 (ベル),堀,33.50%,
7023,2025/06/07,鯖江店,店舗 (ベル),,SE2,128,並品,~79%,◯,染み有り,◯,,357145416657023,6800,548,7348,17980,販売済,SM出品済,2025/8/11,Shopify,,43.80%,
1250,2025/06/07,福井店,店舗 (ベル),,15,128,リペア品,90%~,◯,◯,△,,356596725221250,31300,7150,38450,69980,販売済,未出品,2025/7/12,店舗 (ベル),堀,33.00%,
8612,2025/06/07,鯖江店,店舗 (ベル),,8,64,良品,80%~89%,◯,◯,◯,,356097092998612,5900,0,5900,9073,販売済,SM出品済,2025/9/10,メルカリ,,15.70%,
5936,2025/06/09,福井店,店舗 (ベル),,SE2,64,美品,~79%,◯,◯,◯,,356786115795936,9800,548,10348,19982,販売済,SM出品済,2025/9/22,店舗 (ベル),土本,33.50%,
4766,2025/06/10,鯖江店,店舗 (ベル),,SE2,64,美品,~79%,◯,◯,◯,,354356422124766,11200,548,11748,19073,販売済,SM出品済,2025/10/24,店舗 (鯖江),土本,23.50%,
8711,2025/06/10,福井店,店舗 (ベル),,15,128,美品,90%~,◯,◯,◯,,356052192368711,78100,-3905,74195,89980,販売済,S出品済,2025/8/3,店舗 (ベル),堀,5.70%,
4061,2025/06/10,福井店,店舗 (ベル),,12,64,良品,~79%,◯,◯,◯,,354047645024061,15000,-8000,7000,19980,販売済,M出品済,2025/7/11,メルカリ,,50.20%,
