売上ID,日付,担当者,店舗,チャネル,来店経路,大項目,機種カテゴリ,機種,メニュー,仕入先,IMEI,売上金額,原価,粗利,値引き,最終売上,備考,登録日時
20251210-001-02,2025-12-10,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/10 13:50:47
20251210-002-01,2025-12-10,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,8P,TH-F,アイサポ,,5436,2750,2686,100,5336,,2025/12/10 13:51:26
20251210-002-02,2025-12-10,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/10 13:51:26
20251210-003-01,2025-12-10,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,13mini,バッテリー,アイサポ,,8618,3340,5278,0,8618,,2025/12/10 16:05:41
20251210-004-01,2025-12-10,土本,ECサイト,メルカリ,ネット検索,中古販売,中古,11ProMax,64GB リペア品,アイサポ,353908102628424,29982,14400,15582,0,29982,,2025/12/10 17:00:56
20251210-005-01,2025-12-10,土本,鯖江店,店舗,通りがかり,中古販売,中古,12ProMax,128GB 美品,アイサポ,356725110159938,68164,48600,19564,0,68164,,2025/12/10 17:02:26
20251210-005-02,2025-12-10,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルムP,アイサポ,,1000,300,700,0,1000,,2025/12/10 17:02:26
20251210-006-01,2025-12-10,土本,鯖江店,店舗,通りがかり,中古販売,中古,12ProMax,256GB 良品,アイサポ,356725117861296,62627,37600,25027,0,62627,,2025/12/10 17:03:30
20251210-006-02,2025-12-10,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルムP,アイサポ,,1000,300,700,0,1000,,2025/12/10 17:03:30
20251210-007-01,2025-12-10,土本,鯖江店,店舗,リピーター,iPhone修理,iPhone,13ProMax,バッテリー,アイサポ,,9527,3740,5787,476,9051,,2025/12/10 19:11:25
20251210-008-01,2025-12-10,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,0,5436,,2025/12/10 19:44:38
20251210-008-02,2025-12-10,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,0,5436,,2025/12/10 19:44:38
20251210-009-01,2025-12-10,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE2,HGバッテリー,アイサポ,,8436,3390,5046,0,8436,,2025/12/10 19:44:58
20251211-001-01,2025-12-11,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,14,手入力,アイサポ,,11637,2900,8737,0,11637,,2025/12/11 12:47:24
20251211-001-02,2025-12-11,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/11 12:47:24
20251211-002-01,2025-12-11,土本,ECサイト,メルカリ,ネット検索,中古販売,中古,XR,64GB 良品,アイサポ,357374093966347,17255,14400,2855,0,17255,,2025/12/11 12:49:45
20251211-003-01,2025-12-11,堀,福井店,店舗,リピーター,iPhone修理,iPhone,8P,バッテリー,アイサポ,,5255,2360,2895,688,4567,,2025/12/11 15:32:25
20251211-004-01,2025-12-11,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,14,バッテリー,アイサポ,,9982,3940,6042,0,9982,,2025/12/11 15:33:03
20251211-004-02,2025-12-11,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/11 15:33:03
20251211-005-01,2025-12-11,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,12mini,HGバッテリー,アイサポ,,10709,4340,6369,0,10709,,2025/12/11 15:33:26
20251211-006-01,2025-12-11,土本,鯖江店,店舗,紹介,iPhone修理,iPhone,12Pro,バッテリー,アイサポ,,7709,2990,4719,0,7709,,2025/12/11 15:59:30
20251212-001-01,2025-12-12,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,13,バッテリー,アイサポ,,8618,3390,5228,0,8618,,2025/12/12 12:02:49
20251212-001-02,2025-12-12,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,13,コネクタ,アイサポ,,13455,6800,6655,1000,12455,,2025/12/12 12:02:49
20251212-002-01,2025-12-12,土本,鯖江店,店舗,紹介,iPhone修理,iPhone,11,バッテリー,アイサポ,,6345,2490,3855,317,6028,,2025/12/12 12:04:17
20251212-002-02,2025-12-12,土本,鯖江店,店舗,紹介,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/12 12:04:17
20251212-003-01,2025-12-12,龍田,ECサイト,Shopify,YouTube,中古販売,中古,SE2,64GB 並品,アイサポ,356485100374514,12709,7200,5509,0,12709,,2025/12/12 13:56:34
20251212-004-01,2025-12-12,龍田,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/12 18:14:32
20251212-005-01,2025-12-12,龍田,福井店,店舗,通りがかり,iPhone修理,iPhone,12,バッテリー,アイサポ,,7709,2990,4719,100,7609,,2025/12/12 18:17:23
20251212-005-02,2025-12-12,龍田,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/12 18:17:23
20251212-006-01,2025-12-12,土本,ECサイト,Shopify,ネット検索,中古販売,中古,13mini,128GB 美品,アイサポ,359693400365929,53618,32000,21618,0,53618,,2025/12/12 18:19:03
20251213-001-01,2025-12-13,土本,鯖江店,店舗,リピーター,iPhone修理,iPhone,SE2,HGバッテリー,HW,,3000,650,2350,0,3000,,2025/12/13 12:31:51
20251213-001-02,2025-12-13,土本,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/13 12:31:51
20251213-002-01,2025-12-13,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,11Pro,バッテリー,アイサポ,,6800,2790,4010,100,6700,,2025/12/13 16:28:11
20251213-002-02,2025-12-13,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/13 16:28:11
20251213-003-01,2025-12-13,土本,鯖江店,店舗,リピーター,iPhone修理,iPhone,12mini,HGバッテリー,HW,,5000,800,4200,0,5000,,2025/12/13 16:28:50
20251213-004-01,2025-12-13,土本,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルムP,アイサポ,,1000,300,700,0,1000,,2025/12/13 16:29:24
20251213-005-01,2025-12-13,土本,鯖江店,店舗,リピーター,iPhone修理,iPhone,11,バッテリー,アイサポ,,6345,2490,3855,0,6345,,2025/12/13 16:29:52
20251213-006-01,2025-12-13,堀,福井店,店舗,通りがかり,操作案内,操作案内,,個別10分,アイサポ,,1000,0,1000,0,1000,,2025/12/13 17:22:14
20251213-006-02,2025-12-13,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/13 17:22:14
20251213-007-01,2025-12-13,堀,福井店,店舗,紹介,iPad修理,iPad,Pad6,バッテリー,アイサポ,,13165,2290,10875,0,13165,,2025/12/13 17:23:02
20251213-008-01,2025-12-13,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,SE2,TH-L,アイサポ,,6982,3040,3942,0,6982,,2025/12/13 17:25:18
20251213-008-02,2025-12-13,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,1000,4436,,2025/12/13 17:25:18
20251213-008-03,2025-12-13,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/13 17:25:18
20251213-009-01,2025-12-13,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,XSMax,TH-F,アイサポ,,9073,5390,3683,100,8973,,2025/12/13 17:25:57
20251213-009-02,2025-12-13,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/13 17:25:57
20251213-010-01,2025-12-13,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,12Pro,HGバッテリー,アイサポ,,10709,4340,6369,0,10709,,2025/12/13 17:26:23
20251213-011-01,2025-12-13,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,0,5436,,2025/12/13 17:26:55
20251213-011-02,2025-12-13,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/13 17:26:55
20251213-012-01,2025-12-13,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,13ProMax,バッテリー,アイサポ,,9527,3740,5787,0,9527,,2025/12/13 17:27:26
20251213-012-02,2025-12-13,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/13 17:27:26
20251213-013-01,2025-12-13,堀,福井店,店舗,通りがかり,中古販売,中古,SE3,128GB 並品,アイサポ,350158426028157,31800,16400,15400,0,31800,,2025/12/13 17:28:00
20251213-014-01,2025-12-13,土本,鯖江店,店舗,ネット検索,操作案内,操作案内,,個別10分,アイサポ,,1000,0,1000,0,1000,,2025/12/13 17:56:43
20251213-015-01,2025-12-13,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,12mini,HGバッテリー,アイサポ,,10709,4340,6369,100,10609,,2025/12/13 17:57:24
20251213-016-01,2025-12-13,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,13,HGバッテリー,アイサポ,,11618,4790,6828,100,11518,,2025/12/13 19:31:40
20251213-017-01,2025-12-13,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,13,HGバッテリー,アイサポ,,11618,4790,6828,0,11618,,2025/12/13 19:31:56
20251214-001-01,2025-12-14,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/14 14:53:27
20251214-001-02,2025-12-14,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,20,500,0,500,,2025/12/14 14:53:27
20251214-002-01,2025-12-14,堀,福井店,店舗,リピーター,iPhone修理,iPhone,SE3,HGバッテリー,アイサポ,,8891,3590,5301,594,8297,,2025/12/14 14:54:21
20251214-002-02,2025-12-14,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/14 14:54:21
20251214-003-01,2025-12-14,堀,福井店,店舗,通りがかり,操作案内,操作案内,,個別10分,アイサポ,,1000,0,1000,0,1000,,2025/12/14 14:54:39
20251214-004-01,2025-12-14,堀,福井店,店舗,リピーター,操作案内,操作案内,,個別20分,アイサポ,,2000,0,2000,0,2000,,2025/12/14 14:54:56
20251214-005-01,2025-12-14,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/14 14:55:09
20251214-006-01,2025-12-14,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/14 14:55:24
20251214-007-01,2025-12-14,龍田,鯖江店,店舗,通りがかり,中古販売,中古,XR,64GB リペア品,アイサポ,353051102191745,9981,0,9981,0,9981,,2025/12/14 15:54:40
20251214-007-02,2025-12-14,龍田,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/14 15:54:40
20251214-007-03,2025-12-14,龍田,鯖江店,店舗,通りがかり,データ移行,データ移行,,データ移行,アイサポ,,3000,0,3000,0,3000,,2025/12/14 15:54:40
20251214-007-04,2025-12-14,龍田,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,ケース,アイサポ,,500,100,400,0,500,,2025/12/14 15:54:40
20251214-008-01,2025-12-14,龍田,鯖江店,店舗,通りがかり,iPhone修理,iPhone,SE3,バッテリー,アイサポ,,5891,2290,3601,100,5791,,2025/12/14 15:56:19
20251214-008-02,2025-12-14,龍田,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/14 15:56:19
20251214-009-01,2025-12-14,龍田,鯖江店,店舗,通りがかり,iPhone修理,iPhone,12,バッテリー,アイサポ,,7709,2990,4719,100,7609,,2025/12/14 15:56:42
20251214-010-01,2025-12-14,龍田,鯖江店,店舗,通りがかり,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,100,5336,,2025/12/14 16:15:21
20251214-010-02,2025-12-14,龍田,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/14 16:15:21
20251214-011-01,2025-12-14,龍田,鯖江店,店舗,通りがかり,iPhone修理,iPhone,SE2,HGバッテリー,アイサポ,,8436,3390,5046,100,8336,,2025/12/14 16:15:39
20251214-012-01,2025-12-14,龍田,鯖江店,店舗,通りがかり,iPhone修理,iPhone,SE3,TH-L,HW,,7891,1500,6391,0,7891,,2025/12/14 16:16:06
20251214-013-01,2025-12-14,龍田,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/14 16:16:43
20251214-013-02,2025-12-14,龍田,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/14 16:16:43
20251214-013-03,2025-12-14,龍田,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/14 16:16:43
20251214-014-01,2025-12-14,龍田,鯖江店,店舗,通りがかり,iPhone修理,iPhone,12,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/14 16:17:11
20251214-015-01,2025-12-14,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,0,5436,,2025/12/14 18:04:45
20251214-015-02,2025-12-14,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/14 18:04:45
20251214-016-01,2025-12-14,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,13mini,HGバッテリー,アイサポ,,11618,4740,6878,100,11518,,2025/12/14 18:05:16
20251214-017-01,2025-12-14,堀,福井店,店舗,リピーター,その他,その他,,手入力,アイサポ,,2244,1000,1244,0,2244,,2025/12/14 18:05:35
20251214-018-01,2025-12-14,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,8,バッテリー,アイサポ,,5255,2110,3145,0,5255,,2025/12/14 18:09:56
20251214-019-01,2025-12-14,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,11,バッテリー,アイサポ,,6345,2490,3855,100,6245,,2025/12/14 19:35:05
20251214-019-02,2025-12-14,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,11,バッテリー,アイサポ,,6345,2490,3855,100,6245,,2025/12/14 19:35:05
20251214-020-01,2025-12-14,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,14,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/14 19:35:29
20251215-001-01,2025-12-15,龍田,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE3,HGバッテリー,アイサポ,,8891,3590,5301,0,8891,,2025/12/15 17:36:38
20251215-001-02,2025-12-15,龍田,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/15 17:36:38
20251215-002-01,2025-12-15,龍田,鯖江店,店舗,ネット検索,iPhone修理,iPhone,XS,TH-L,HW,,11255,1950,9305,0,11255,,2025/12/15 17:37:06
20251215-003-01,2025-12-15,堀,福井店,店舗,ネット検索,中古販売,中古,SE2,64GB 良品,アイサポ,356742114227942,14527,9800,4727,0,14527,,2025/12/15 19:46:30
20251215-004-01,2025-12-15,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,コーティング,アイサポ,,2000,300,1700,0,2000,,2025/12/15 19:50:16
20251215-004-02,2025-12-15,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/15 19:50:16
20251215-004-03,2025-12-15,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,20,500,0,500,,2025/12/15 19:50:16
20251215-005-01,2025-12-15,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,0,5436,,2025/12/15 19:51:33
20251215-006-01,2025-12-15,堀,福井店,店舗,リピーター,iPhone修理,iPhone,11ProMax,バッテリー,アイサポ,,6800,2790,4010,374,6426,,2025/12/15 19:52:28
20251215-006-02,2025-12-15,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/15 19:52:28
20251215-007-01,2025-12-15,堀,福井店,店舗,リピーター,操作案内,操作案内,,個別10分,アイサポ,,1000,0,1000,0,1000,,2025/12/15 19:52:53
20251216-001-01,2025-12-16,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/16 11:46:54
20251216-002-01,2025-12-16,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,コーティング,アイサポ,,2000,300,1700,0,2000,,2025/12/16 15:24:03
20251216-003-01,2025-12-16,龍田,鯖江店,店舗,ネット検索,iPhone修理,iPhone,15Pro,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/16 15:24:38
20251216-004-01,2025-12-16,龍田,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/16 19:13:41
20251216-005-01,2025-12-16,龍田,福井店,店舗,ネット検索,iPhone修理,iPhone,SE2,未修理,アイサポ,,1000,0,1000,0,1000,,2025/12/16 19:14:22
20251216-006-01,2025-12-16,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/16 19:19:00
20251216-007-01,2025-12-16,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/16 19:19:39
20251216-007-02,2025-12-16,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルムP,アイサポ,,1000,300,700,0,1000,,2025/12/16 19:19:39
20251217-001-01,2025-12-17,龍田,福井店,店舗,通りがかり,中古販売,中古,XS,256GB 美品,アイサポ,357237091758794,22709,10800,11909,0,22709,,2025/12/17 15:58:03
20251217-002-01,2025-12-17,龍田,福井店,店舗,ネット検索,操作案内,操作案内,8,個別10分,アイサポ,,1000,0,1000,0,1000,,2025/12/17 15:59:38
20251217-003-01,2025-12-17,龍田,福井店,店舗,ネット検索,その他,その他,,手入力,アイサポ,,13980,14300,-320,0,13980,,2025/12/17 16:01:01
20251217-004-01,2025-12-17,龍田,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/17 16:01:23
20251217-005-01,2025-12-17,龍田,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/17 16:01:35
20251217-006-01,2025-12-17,龍田,福井店,店舗,通りがかり,iPhone修理,iPhone,6s,バッテリー,HW,,4527,500,4027,0,4527,,2025/12/17 16:01:54
20251217-007-01,2025-12-17,土本,鯖江店,店舗,通りがかり,iPhone修理,iPhone,12mini,バッテリー,アイサポ,,7709,2990,4719,0,7709,,2025/12/17 16:28:42
20251217-008-01,2025-12-17,龍田,福井店,店舗,リピーター,中古販売,中古,SE2,64GB 良品,アイサポ,356788110630308,15436,9200,6236,0,15436,,2025/12/17 16:55:19
20251217-008-02,2025-12-17,龍田,福井店,店舗,リピーター,iPhone修理,iPhone,SE2,HGバッテリー,HW,,3000,650,2350,0,3000,,2025/12/17 16:55:19
20251217-008-03,2025-12-17,龍田,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/17 16:55:19
20251217-009-01,2025-12-17,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,14,カメラ窓,アイサポ,,9073,480,8593,0,9073,,2025/12/17 18:48:20
20251218-001-01,2025-12-18,龍田,鯖江店,店舗,ネット検索,iPhone修理,iPhone,X,バッテリー,アイサポ,,5436,2240,3196,0,5436,,2025/12/18 19:35:26
20251219-001-01,2025-12-19,土本,鯖江店,店舗,リピーター,iPhone修理,iPhone,SE2,HGバッテリー,アイサポ,,8436,3390,5046,445,7991,,2025/12/19 14:24:37
20251219-001-02,2025-12-19,土本,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/19 14:24:37
20251219-002-01,2025-12-19,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,12Pro,TH-L,アイサポ,,13982,5480,8502,0,13982,,2025/12/19 14:25:03
20251219-003-01,2025-12-19,土本,ECサイト,メルカリ,ネット検索,中古販売,中古,XR,64GB 美品,アイサポ,357375093062250,18164,21000,-2836,0,18164,,2025/12/19 15:06:15
20251219-004-01,2025-12-19,土本,鯖江店,店舗,通りがかり,中古販売,中古,11ProMax,64GB リペア品,アイサポ,352869112961596,20980,10000,10980,0,20980,,2025/12/19 15:07:03
20251219-005-01,2025-12-19,土本,鯖江店,店舗,通りがかり,中古販売,中古,12mini,64GB リペア品,アイサポ,353014114891454,22893,16200,6693,0,22893,,2025/12/19 15:09:14
20251219-006-01,2025-12-19,土本,鯖江店,店舗,ネット検索,操作案内,操作案内,,個別10分,アイサポ,,1000,0,1000,0,1000,,2025/12/19 17:15:14
20251219-006-02,2025-12-19,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,手入力,アイサポ,,2980,700,2280,0,2980,,2025/12/19 17:15:14
20251219-006-03,2025-12-19,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,手入力,アイサポ,,2980,700,2280,0,2980,,2025/12/19 17:15:14
20251219-007-01,2025-12-19,堀,福井店,店舗,リピーター,iPhone修理,iPhone,12,作業費,アイサポ,,3000,0,3000,0,3000,,2025/12/19 19:42:02
20251219-008-01,2025-12-19,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,0,500,0,500,,2025/12/19 19:42:33
20251219-009-01,2025-12-19,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,8P,TH-L,HW,,7436,1500,5936,0,7436,,2025/12/19 19:43:20
20251219-009-02,2025-12-19,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,8P,バッテリー,HW,,5255,610,4645,1000,4255,,2025/12/19 19:43:20
20251219-010-01,2025-12-19,堀,福井店,店舗,リピーター,iPhone修理,iPhone,13Pro,TH-F,アイサポ,,16800,11030,5770,0,16800,,2025/12/19 19:43:53
20251219-011-01,2025-12-19,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE3,バッテリー,アイサポ,,5891,2290,3601,0,5891,,2025/12/19 19:44:27
20251219-012-01,2025-12-19,堀,ECサイト,メルカリ,ネット検索,中古販売,中古,11Pro,64GB 良品,アイサポ,353844101134132,25436,21000,4436,6656,18780,,2025/12/19 19:46:57
20251220-001-01,2025-12-20,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE2,HGバッテリー,アイサポ,,8436,3390,5046,100,8336,,2025/12/20 11:57:51
20251220-001-02,2025-12-20,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/20 11:57:51
20251220-002-01,2025-12-20,土本,鯖江店,店舗,ネット検索,iPad修理,iPad,Pad7,バッテリー,アイサポ,,13165,2290,10875,100,13065,,2025/12/20 11:58:21
20251220-003-01,2025-12-20,土本,鯖江店,店舗,通りがかり,中古販売,中古,12ProMax,256GB 美品,アイサポ,356724113328509,71800,43300,28500,0,71800,,2025/12/20 13:48:44
20251220-004-01,2025-12-20,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,XS,TH-L,アイサポ,,11255,4190,7065,100,11155,,2025/12/20 14:38:19
20251220-004-02,2025-12-20,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/20 14:38:19
20251220-005-01,2025-12-20,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,13,水没未修理,アイサポ,,3000,0,3000,0,3000,,2025/12/20 14:38:47
20251220-006-01,2025-12-20,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE3,HG-F,アイサポ,,9527,4040,5487,100,9427,,2025/12/20 16:56:30
20251220-007-01,2025-12-20,堀,福井店,店舗,ネット検索,中古販売,中古,13Pro,256GB リペア品,アイサポ,350283164678953,49982,30000,19982,0,49982,,2025/12/20 18:36:40
20251220-007-02,2025-12-20,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/20 18:36:40
20251220-007-03,2025-12-20,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,0,500,0,500,,2025/12/20 18:36:40
20251220-008-01,2025-12-20,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,7P,バッテリー,HW,,4982,610,4372,0,4982,,2025/12/20 19:36:21
20251220-009-01,2025-12-20,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,15,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/20 19:36:49
20251220-010-01,2025-12-20,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,13,カメラ窓,HW,,9073,300,8773,0,9073,,2025/12/20 19:37:33
20251220-010-02,2025-12-20,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,0,500,0,500,,2025/12/20 19:37:33
20251220-011-01,2025-12-20,堀,福井店,店舗,リピーター,iPhone修理,iPhone,11Pro,手入力,アイサポ,,3000,946,2054,0,3000,,2025/12/20 19:38:22
20251220-012-01,2025-12-20,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,12Pro,HGバッテリー,アイサポ,,10709,4340,6369,0,10709,,2025/12/20 19:38:45
20251220-013-01,2025-12-20,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,14,HG-L,HW,,35345,5000,30345,0,35345,,2025/12/20 19:39:13
20251220-014-01,2025-12-20,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,14ProMax,バッテリー,アイサポ,,10891,4290,6601,0,10891,,2025/12/20 19:39:48
20251220-014-02,2025-12-20,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/20 19:39:48
20251220-015-01,2025-12-20,堀,福井店,店舗,リピーター,iPhone修理,iPhone,XR,バッテリー,HW,,5891,706,5185,0,5891,,2025/12/20 19:40:12
20251220-016-01,2025-12-20,堀,福井店,店舗,リピーター,iPad修理,iPad,Pad8,手入力,HW,,14301,11110,3191,0,14301,,2025/12/20 19:41:46
20251220-017-01,2025-12-20,堀,福井店,店舗,リピーター,iPhone修理,iPhone,12mini,HGバッテリー,アイサポ,,10709,4340,6369,589,10120,,2025/12/20 19:42:26
20251220-017-02,2025-12-20,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/20 19:42:26
20251220-018-01,2025-12-20,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,12Pro,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/20 19:42:53
