管理No,入荷日,入荷店舗,仕入元,担当者,モデル,ストレージ,ランク,バッテリー%,カメラ窓,カメラ染み,NW制限,非正規修理,IMEI,買取価格,修理パーツ原価,販売原価,販売価格,在庫ステータス,ECステータス,販売日,販売チャネル,販売担当者,備考,最終価格更新日時
8470,2025/05/29,福井店,店舗 (ベル),,12Pro,256,美品,80%~89%,破損なし,染みなし,◯,履歴なし,356686118418470,46800,0,46800,61980,在庫,SM出品済,,,,"バッテリー -1,000円",2026/01/21
7925,2025/05/31,鯖江店,店舗 (ベル),,11,128,良品,80%~89%,破損なし,染みなし,◯,履歴なし,352917117227925,21700,0,21700,33980,在庫,SM出品済,,,,"バッテリー-1,000",2026/01/24
3143,2025/05/13,鯖江店,店舗 (ベル),,12mini,64,リペア品,~79%,破損なし,染みなし,◯,履歴なし,353016110083143,10800,4752,15552,20891,在庫,SM出品済,,,,11.00%,
2899,2025/06/07,福井店,店舗 (ベル),,12,128,美品,80%~89%,破損なし,染みなし,◯,履歴なし,353905991952899,28800,0,28800,41800,在庫,SM出品済,,,,18.30%,
5095,2025/06/15,鯖江店,店舗 (ベル),,SE2,64,美品,80%~89%,破損なし,染みなし,◯,履歴なし,356789117035095,12600,0,12600,20980,在庫,SM出品済,,,,"バッテリー-1,000",2026/01/24
4900,2025/06/16,鯖江店,店舗 (ベル),,X,64,リペア品,~79%,破損なし,染みなし,◯,履歴なし,356741086414900,6400,4900,11300,14527,在庫,SM出品済,,,,6.10%,
9847,2025/07/06,鯖江店,店舗 (ベル),,SE2,64,美品,~79%,破損なし,染みなし,◯,履歴なし,359230404009847,11200,0,11200,20980,在庫,SM出品済,,,,0.263,2026/01/17
8836,2025/07/16,鯖江店,店舗 (ベル),,13mini,128,美品,80%~89%,破損なし,染みなし,◯,履歴なし,354084993328836,36000,0,36000,57980,在庫,SM出品済,,,,0.205,2026/01/21
8894,2025/07/22,鯖江店,店舗 (ベル),,12Pro,256,良品,80%~89%,破損なし,染みあり,◯,履歴なし,356690116198894,23000,0,23000,54980,在庫,SM出品済,,,,"バッテリー-1,000
シミ少-2,000",2026/01/21
8297,2025/07/27,鯖江店,店舗 (ベル),,13Pro,256,美品,80%~89%,破損なし,染みなし,◯,履歴なし,353742330638297,60300,0,60300,83980,在庫,SM出品済,,,,"バッテリー-1,000",2026/01/21
4581,2025/08/03,福井店,店舗 (鯖江),,SE2,64,美品,~79%,破損なし,染みあり,◯,履歴なし,351010640904581,8400,548,8948,21980,在庫,SM出品済,,,,バッテリー交換済み,2026/01/17
188,2025/08/14,福井店,店舗 (ベル),,13,128,美品,80%~89%,破損なし,染みなし,◯,履歴なし,355818451790188,39600,0,39600,58980,在庫,S出品済,,,,"バッテリー -1,000円",2026/01/21
1107,2025/08/29,福井店,店舗 (鯖江),,12ProMax,128,美品,90%~,破損なし,染みなし,◯,履歴なし,356724114321107,40000,0,40000,70980,在庫,SM出品済,,,,,2026/01/21
842,2025/08/30,鯖江店,店舗 (鯖江),,SE2,64,美品,90%~,破損なし,染みあり,◯,履歴なし,351777865870842,9800,0,9800,19980,在庫,SM出品済,,,,0.309,2026/01/17
1804,2025/08/31,福井店,ウェブ,,15,128,美品,80%~89%,破損なし,染みなし,◯,履歴なし,351947254061804,75600,0,75600,91980,在庫,S出品済,,,,"バッテリー -1,000円",2026/01/21
7640,2025/09/02,福井店,店舗 (鯖江),,X,256,良品,~79%,破損なし,染みあり,◯,履歴なし,356741082507640,7200,990,8190,21980,在庫,SM出品済,,,,"シミ -1,000円",2026/01/28
8843,2025/09/06,福井店,店舗 (ベル),,XR,128,良品,80%~89%,破損なし,染みなし,◯,履歴なし,357371094058843,6400,0,6400,22980,在庫,S出品済,,,,"バッテリー -1,000円",2026/01/21
3475,2025/09/17,福井店,店舗 (ベル),,12,128,良品,~79%,破損なし,染みなし,◯,履歴なし,350643636963475,21600,825,22425,39980,在庫,SM出品済,,,,0.283,2026/01/13
4054,2025/09/23,福井店,店舗 (ベル),,13,128,良品,80%~89%,破損なし,染みなし,◯,履歴なし,357149970074054,37100,0,37100,53980,在庫,S出品済,,,,"基準価格 ¥54,980
バッテリー -1,000円",2026/01/13
6569,2025/09/27,福井店,店舗 (ベル),,15Pro,128,美品,80%~89%,破損なし,染みなし,◯,履歴なし,355746600296569,93600,0,93600,114980,在庫,S出品済,,,,"バッテリー -1,000円",2026/01/13
4245,2025/09/29,福井店,店舗 (ベル),,15ProMax,256,美品,80%~89%,破損なし,染みあり,◯,履歴なし,359779343094245,83300,0,83300,129980,在庫,SM出品済,,,,"バッテリー -1,000円
カメラ染み -3,000円
特別調整 -6,000円",2026/01/17
6093,2025/10/04,福井店,ウェブ,,SE2,64,良品,80%~89%,破損なし,染みなし,◯,履歴なし,356784110436093,10600,0,10600,18980,在庫,S出品済,2025-12-15,店舗,堀,0.155,2026/01/17
4184,2025/10/05,鯖江店,店舗 (鯖江),,13Pro,128,並品,80%~89%,破損なし,染みなし,◯,履歴なし,359339132834184,40800,0,40800,68980,在庫,SM出品済,,,,"バッテリー-1,000",2026/01/13
2807,2025/10/07,福井店,ウェブ,,XS,256,リペア品,~79%,破損なし,染みあり,◯,履歴なし,357234091212807,8000,3900,11900,20980,在庫,M出品済,,,,"シミ-1,000
バッテリー交換済み",2026/01/21
4617,2025/10/08,鯖江店,店舗 (鯖江),,12mini,64,並品,~79%,破損なし,染みなし,◯,履歴なし,353010112384617,11600,792,12392,22709,在庫,SM出品済,,,,31.10%,
7828,2025/10/12,福井店,店舗 (ベル),,SE2,128,美品,80%~89%,破損なし,染みなし,◯,履歴なし,356491107737828,15300,-2000,13300,23980,在庫,S出品済,,,,"バッテリー -1,000円",2026/01/17
8638,2025/10/13,鯖江店,店舗 (鯖江),,13Pro,128,美品,80%~89%,破損なし,染みなし,◯,履歴なし,351436770938638,54900,0,54900,78980,在庫,SM出品済,,,,"バッテリー-1,000",2026/01/13
9291,2025/10/14,福井店,ウェブ,,16Pro,256,美品,90%~,破損なし,染みなし,◯,履歴なし,359689536909291,131000,0,131000,154980,在庫,S出品済,,,,-0.016,2026/01/30
5493,2025/10/14,福井店,ウェブ,,12Pro,256,良品,~79%,破損なし,染みあり,◯,履歴なし,356688111435493,22000,0,22000,49980,在庫,SM出品済,,,,0.418,2026/01/13
4077,2025/10/17,福井店,ウェブ,,8,64,並品,~79%,破損なし,染みなし,◯,履歴なし,352995093114077,2700,0,2700,8980,在庫,S出品済,,,,"バッテリー -2,000円",2026/01/22
1612,2025/10/22,鯖江店,ウェブ,,16,128,美品,90%~,破損なし,染みなし,◯,履歴なし,358453589711612,86000,0,86000,104980,在庫,S出品済,,,,0.022,2026/01/21
7644,2025/10/21,鯖江店,ウェブ,,12ProMax,128,美品,~79%,破損なし,染みなし,◯,履歴なし,356721117247644,43200,0,43200,70980,在庫,S出品済,,,,"バッテリー-2,000",2026/01/13
1163,2025/10/21,福井店,ウェブ,,12Pro,128,良品,~79%,破損なし,染みなし,◯,履歴なし,356686115251163,28600,0,28600,50980,在庫,S出品済,,,,"バッテリー -2,000円",2026/01/21
727,2025/10/25,福井店,店舗 (ベル),,SE2,64,美品,~79%,破損なし,染みなし,◯,履歴なし,356796114990727,10400,-4400,6000,19073,在庫,S出品済,,,,53.60%,
9268,2025/10/28,福井店,ウェブ,,SE2,64,並品,~79%,破損なし,染みなし,◯,履歴なし,356492101549268,7445,929,8374,20980,在庫,S出品済,2025-12-15,店舗,堀,"バッテリー79％以下 減額 -2,000円
互換バッテリー交換済み +3,000円",2026/01/22
1937,2025/10/29,福井店,ウェブ,,14ProMax,256,良品,80%~89%,破損なし,染みなし,◯,履歴なし,350270052081937,71900,0,71900,97255,在庫,S出品済,,,,14.30%,
9509,2025/11/02,福井店,店舗 (ベル),,X,64,並品,~79%,破損なし,染みあり,◯,履歴なし,353020091089509,5000,-3000,2000,11980,在庫,S出品済,,,,"画面修理なし
リペア品価格で販売
バッテリー -2,000円
シミ -1,000円",2026/01/21
6962,2025/11/04,福井店,店舗 (鯖江),,XR,128,並品,80%~89%,破損なし,染みなし,◯,履歴なし,357374098046962,0,0,0,20980,在庫,SM出品済,,,,"バッテリー -1,000円",2026/01/21
4982,2025/11/05,鯖江店,店舗 (ベル),,SE2,64,並品,90%~,破損なし,染みなし,◯,履歴あり,358397346474982,6400,-1400,5000,12709,在庫,SM出品済,,,,43.80%,
2541,2025/11/06,福井店,ウェブ,,16ProMax,256,良品,90%~,破損なし,染みなし,△,履歴なし,358798962882541,100600,0,100600,159980,在庫,S出品済,,,,0.193,2026/01/21
4099,2025/11/11,福井店,ウェブ,,X,256,美品,80%~89%,破損なし,染みなし,◯,履歴なし,356740082304099,13300,0,13300,23980,在庫,S出品済,,,,"バッテリー -2,000円",2026/01/21
6656,2025/11/15,福井店,店舗 (ベル),,SE2,128,良品,80%~89%,破損なし,染みなし,◯,履歴なし,356795116426656,10300,0,10300,21800,在庫,S出品済,,,,38.30%,
6600,2025/11/21,福井店,ウェブ,,12ProMax,256,美品,80%~89%,破損なし,染みあり,◯,履歴なし,356719119386600,31900,0,31900,71980,在庫,S出品済,,,,"減額
バッテリー  -1,000円
カメラ染み -3,000円",2026/01/21
1274,2025/11/23,福井店,店舗 (ベル),,SE2,64,並品,90%~,破損なし,染みあり,◯,履歴なし,351540518101274,6400,0,5000,19980,在庫,S出品済,2025-12-15,店舗,堀,"互換バッテリー交換済み  +3,000円
シミ-1,000円",2026/01/22
4073,2025/11/23,福井店,店舗 (ベル),,8,64,良品,~79%,破損なし,染みなし,◯,履歴なし,352995092654073,4200,0,3000,10980,在庫,,,,,バッテリー 79%以下 減額,2026/01/22
8152,2025/11/28,鯖江店,店舗 (鯖江),,SE2,128,リペア品,~79%,破損なし,染みあり,◯,履歴なし,356492100808152,7000,1980,8980,14980,在庫,SM出品済,,,,"バッテリー-2,000
シミ多-1,000",2026/01/13
2033,2025/11/30,福井店,店舗 (鯖江),,11Pro,256,良品,80%~89%,破損なし,染みなし,◯,履歴なし,353830101162033,13600,0,13600,39980,在庫,S出品済,,,,"バッテリー -1,000円",2026/01/21
4735,2025/11/30,鯖江店,店舗 (鯖江),,12mini,128,美品,~79%,破損なし,染みなし,◯,履歴なし,353011113404735,20800,0,20800,37980,在庫,S出品済,,,,"減額
バッテリー 79%以下 -2,000円",2026/01/21
4817,2025/11/30,鯖江店,ウェブ,,15,128,美品,90%~,破損なし,染みなし,◯,履歴なし,351947253974817,76000,0,76000,97980,在庫,S出品済,,,,"利益率考慮し97,980",2026/01/21
7051,2025/11/30,鯖江店,店舗 (ベル),,11Pro,256,美品,~79%,破損なし,染みあり,◯,履歴なし,353844100307051,13200,0,13200,39980,在庫,S出品済,,,,"バッテリー-2,000
シミ少−1,000",2026/01/24
6884,2025/11/30,福井店,店舗 (ベル),,11Pro,256,美品,~79%,破損なし,染みあり,◯,履歴なし,353832100226884,13200,0,13200,38980,在庫,S出品済,,,,"カメラシミ -1000円
バッテリー -2,000円",2026/01/21
6251,2025-12-03,鯖江店,鯖江店,土本,13,256,良品,78,破損なし,染みなし,△,履歴なし,351519630136251,22600,0,22600,54980,在庫,S出品済,,,,"減額
NW -3,000
バッテリー 2,000円",2026/01/21
892,2025-12-07,鯖江店,鯖江店,土本,X,256,良品,77,破損なし,染みあり,◯,履歴なし,353021092820892,5800,0,5800,19980,在庫,S出品済,,,,"バッテリー-2,000
シミ-1,000",2026/01/28
8654,2025-12-09,福井店,福井店,堀,12,64,良品,75,破損なし,染みあり,◯,履歴なし,353049115388654,12000,0,12000,28980,在庫,,,,,"バッテリー -2,000円
カメラ染み -2,000円",2026/01/13
6091,2025-12-09,福井店,福井店,堀,15Plus,128,美品,85,破損なし,染みなし,△,履歴なし,352459163936091,53900,0,53900,95980,在庫,S出品済,,,,"基準価格 ¥105,980
減額
バッテリー 89~80% -1,000円
ネットワーク -3,000円
特別調整 -6,000円",2026/01/13
2885,2025-12-14,福井店,福井店,堀,12mini,128,美品,88,破損なし,染みなし,◯,履歴なし,353013116522885,21600,0,21600,38980,在庫,S出品済,,,,"減額
バッテリー 80%~89% -1,000円 ",2026/01/21
4409,2025-12-15,福井店,福井店,堀,8,64,美品,78,破損なし,染みあり,◯,履歴なし,352998094704409,2000,0,20000,9980,在庫,,,,,"バッテリー 79%以下 減額
シミあり",2026/01/22
7701,2025-12-19,福井店,福井店,堀,12Pro,128,並品,80,破損あり,染みなし,◯,履歴なし,356687117927701,20000,300,20300,46980,在庫,S出品済,,,,"減額
バッテリー 89~80% -1,000円",2026/01/21
8927,2025-12-21,鯖江店,鯖江店,龍田,12Pro,512,良品,78,破損なし,染みあり,◯,履歴なし,356685113888927,22000,0,22000,64980,在庫,S出品済,,,,"バッテリー-2,000
シミ少-2,000",2026/01/13
1668,2025-12-21,福井店,福井店,堀,SE2,64,良品,87,破損なし,染みなし,◯,履歴なし,356492101321668,9700,0,9700,16480,在庫,,,,,"バッテリー80% -1,000円減額",2025/12/21
7693,2025-12-22,福井店,福井店,龍田,13ProMax,128,良品,83,破損あり,染みあり,◯,履歴なし,352060423127693,32000,300,32300,79980,在庫,S出品済,,,,"減額
バッテリー  -1,000円
カメラ染み -3,000円",2026/01/17
6126,2025-12-24,鯖江店,WEB,堀,16e,128,美品,100,破損なし,染みなし,◯,履歴なし,356649308826126,71000,0,71000,99980,在庫,,,,,"純正100のため+5,000",2026/01/21
8900,2025-12-25,鯖江店,鯖江店,龍田,13,128,良品,85,破損なし,染みなし,◯,履歴なし,357894928248900,37070,0,37070,53980,在庫,S出品済,,,,"買取10%アップ
37070円買取

減額 バッテリー 89~80% -1,000円",2026/01/21
9579,2025-12-25,福井店,WEB,堀,13,128,良品,84,破損なし,染みなし,△,履歴なし,359551277499579,32620,0,32620,50980,在庫,,,,,"softbank △
他店対抗 32,620円で買取

減額 ネットワーク -3,000円
バッテリー -1,000円

特別調整 +3,000円",2026/01/13
7287,2025-12-25,福井店,福井店,龍田,13Pro,128,並品,85,破損なし,染みなし,◯,履歴なし,356942282437287,32600,0,32600,66980,在庫,S出品済,,,,"バッテリー -1,000円",2026/01/17
595,2025-12-28,福井店,福井店,堀,13,128,リペア品,82,破損なし,染みなし,◯,履歴なし,354833964010595,18000,2200,20200,35980,在庫,,,,,,
3671,2025-12-28,福井店,福井店,堀,XR,64,良品,79,破損なし,染みあり,◯,履歴なし,357375091313671,5800,0,5800,18980,在庫,,,,,"シミ -1,000円
バッテリー 2,000円",2026/01/21
8323,2025-12-28,福井店,WEB,堀,12Pro,128,良品,100,破損なし,染みあり,◯,履歴なし,356689113078323,28000,0,28000,55980,在庫,S出品済,,,,"純正バッテリー100% +5,000円
カメラ染み -2,000円",2026/01/21
8942,2025-12-28,福井店,WEB,堀,12Pro,128,美品,77,破損なし,染みあり,◯,履歴なし,356690112648942,24000,0,24000,53980,在庫,S出品済,,,,"減額
バッテリー  -2,000円
カメラ染み -2,000円",2026/01/21
5269,2025-12-28,福井店,WEB,堀,12,64,良品,83,破損なし,染みなし,△,履歴なし,358503112015269,14500,0,14500,28980,在庫,,,,,"減額
バッテリー89~80% -1,000円
ネットワーク -3,000円",2025/12/28
8948,2025-12-30,福井店,WEB,堀,11,64,良品,80,破損なし,染みなし,◯,履歴なし,352604704758948,12900,0,12900,27980,在庫,,,,,"在庫過多に付き ワンランクダウン 12,900円で買取

バッテリー -1,000円",2026/01/21
9665,2025-12-30,福井店,福井店,龍田,12Pro,128,美品,78,破損なし,染みあり,◯,履歴なし,356686113159665,24000,0,24000,53980,在庫,S出品済,,,,"バッテリー -2,000円
カメラ染み -2,000円
",2026/01/21
5743,2025-12-30,福井店,福井店,龍田,12mini,64,良品,77,破損なし,染みなし,△,履歴なし,353011112555743,9600,0,9600,30980,在庫,,,,,"バッテリー -2,000円
ネットワーク -3,000円
ソフトバンク",2026/01/21
1110,2026-01-02,福井店,WEB,堀,13,256,良品,72,破損なし,染みなし,◯,履歴なし,352873831121110,31800,0,31800,57980,在庫,,,,,"バッテリー -2,000円",2026/01/21
4368,2026-01-03,鯖江店,WEB,堀,12,64,並品,76,破損なし,染みなし,◯,履歴なし,353047119594368,13000,0,13000,33980,在庫,S出品済,,,,"減額
バッテリー 79%以下-2,000",2026/01/21
9081,2026-01-03,福井店,福井店,堀,SE2,128,並品,69,破損なし,染みなし,◯,履歴なし,356789112899081,8600,0,8600,16980,在庫,,,,,"減額
バッテリー 79%以下",2026/01/03
5485,2026-01-05,福井店,WEB,堀,SE3,64,美品,80,破損なし,染みなし,◯,履歴なし,350158426435485,24300,0,24300,39980,在庫,,,,,"バッテリー減額 -1,000円",2026/01/05
9479,2026-01-05,福井店,WEB,堀,SE3,64,良品,80,破損なし,染みなし,◯,履歴なし,355486596549479,21300,0,21300,35980,在庫,S出品済,,,,"バッテリー減額 -1,000円",2026/01/21
6780,2026-01-06,福井店,福井店,堀,SE3,64,美品,85,破損なし,染みなし,◯,履歴なし,350158422966780,24300,0,24300,39980,在庫,,,,,"2025/12/31 支払い済み (堀 目視確認)
減額 バッテリー -1,000円",2026/01/06
8465,2026-01-07,福井店,福井店,龍田,SE3,128,美品,100,破損なし,染みなし,◯,履歴あり,354532193108465,26400,750,27150,48980,在庫,,,,,バッテリー交換済み,2026/01/21
2196,2026-01-07,鯖江店,鯖江店,土本,13Pro,512,並品,81,破損なし,染みなし,◯,履歴なし,356310709152196,39500,0,39500,76980,在庫,S出品済,,,,"バッテリー−1,000",2026/01/21
697,2026-01-09,福井店,福井店,堀,XS,64,良品,77,破損なし,染みあり,◯,履歴なし,357239097130697,7000,0,7000,17980,在庫,,,,,"バッテリー -2,000円
カメラ染み -1,000円",2026/01/21
1601,2026-01-09,鯖江店,鯖江店,土本,XR,128,並品,83,破損なし,染みあり,◯,履歴なし,357374090831601,5000,0,5000,16980,在庫,S出品済,,,,"バッテリー-1,000
シミ-1,000",
6600,2026-01-09,鯖江店,鯖江店,土本,13,128,良品,79,破損なし,染みなし,◯,履歴なし,355818450936600,32340,0,32340,52980,在庫,S出品済,,,,"バッテリー-2,000",2026/01/21
5165,2026-01-10,福井店,福井店,堀,SE3,128,美品,75,破損なし,染みなし,◯,履歴なし,359968978605165,26400,0,26400,46980,在庫,,,,,"バッテリー -2,000円",2026/01/21
3563,2026-01-10,福井店,福井店,堀,8,64,良品,92,破損なし,染みなし,◯,履歴なし,352995091993563,5500,0,5500,11980,在庫,,,,,,2026/01/24
1388,2026-01-11,鯖江店,鯖江店,龍田,SE3,64,美品,100,破損なし,染みなし,◯,履歴なし,353617861931388,27000,0,27000,40980,在庫,S出品済,,,,,2026/01/21
7864,2026-01-11,福井店,福井店,堀,12Pro,256,良品,73,破損なし,染みあり,◯,履歴なし,356689112967864,20800,0,20800,53980,在庫,,,,,"バッテリー -2,000円
カメラ染み -2,000円",2026/01/21
4527,2026-01-11,福井店,福井店,堀,11,64,良品,73,破損なし,染みあり,◯,履歴なし,356578100914527,9600,0,9600,25980,在庫,,,,,"染み 1,000円
バッテリー 2,000円",2026/01/21
6588,2026-01-12,鯖江店,鯖江店,龍田,13,128,良品,78,破損なし,染みなし,◯,履歴なし,357329388276588,29400,0,29400,52980,在庫,S出品済,,,,"2026年1月が本体代の最終支払いのため、NW利用制限を◯として買取
バッテリー-2,000",2026/01/21
4642,2026-01-12,福井店,福井店,堀,11,64,リペア品,70,破損なし,染みあり,◯,履歴なし,352929113954642,7000,2090,9090,20980,在庫,,,,,"シミ -1,000円
バッテリー -2,000円",2026/01/21
6318,2026-01-12,福井店,WEB,堀,12ProMax,256,リペア品,73,破損あり,染みあり,◯,履歴なし,356725111366318,23000,10300,33300,67980,在庫,,,,,"リアカメラ交換後 良品価格にて販売予定
純正取り外し品で交換
バッテリー  -2,000円",2026/01/21
4811,2026-01-13,鯖江店,鯖江店,土本,XS,256,良品,100,破損なし,染みなし,◯,履歴あり,357232097034811,8600,0,8600,25980,在庫,S出品済,,,,"非正規修理あり-2,000",2026/01/24
7806,2026-01-14,福井店,福井店,龍田,13ProMax,256,良品,85,破損なし,染みなし,◯,履歴なし,355980289807806,56000,0,56000,87980,在庫,,,,,ほぼ美品に近い良品。画面に2箇所程度傷あり。,2026/01/17
3992,2026-01-15,福井店,WEB,堀,12Pro,128,良品,76,破損あり,染みなし,◯,履歴なし,356685112493992,24000,0,24000,50980,在庫,S出品済,,,,"バッテリー-2,000",2026/01/26
2508,2026-01-15,福井店,福井店,堀,8Plus,256,良品,84,破損なし,染みなし,◯,履歴なし,356735080642508,5000,0,5000,15980,在庫,S出品済,,,,"ワンランクダウン査定にて買取
バッテリー-2,000",2026/01/24
3860,2026-01-17,福井店,福井店,堀,13,128,良品,79,破損なし,染みなし,◯,履歴なし,358239127293860,28800,0,28800,52980,在庫,,,,,"バッテリー -2,000円",2026/01/17
3744,2026-01-17,鯖江店,鯖江店,龍田,16Pro,128,美品,100,破損なし,染みなし,◯,履歴なし,355694891163744,106000,0,106000,144980,在庫,,,,,,
9833,2026-01-18,福井店,福井店,龍田,12,128,良品,80,破損なし,染みなし,◯,履歴なし,355917841459833,22200,0,22200,43980,在庫,,,,,"バッテリー -1,000円",2026/01/21
3794,2026-01-18,福井店,福井店,龍田,14,256,良品,82,破損なし,染みなし,◯,履歴なし,356879772723794,46200,0,46200,74980,在庫,,,,,,
9232,2026-01-18,福井店,福井店,龍田,12,128,良品,85,破損なし,染みなし,◯,履歴あり,353046114009232,16600,800,17400,44980,在庫,,,,,バッテリー交換済み,
6249,2026-01-20,福井店,WEB,龍田,13,256,美品,75,破損なし,染みなし,◯,履歴なし,351519639276249,35200,0,35200,62980,在庫,,,,,"1月14日残債一括返済
バッテリー -2,000円",2026/01/20
9911,2026-01-20,福井店,福井店,堀,SE2,128,良品,84,破損なし,染みなし,◯,履歴なし,356487102219911,13300,0,13300,21980,在庫,,,,,"バッテリー -1,000円",2026/01/20
0648,2026-01-20,福井店,福井店,堀,13mini,256,良品,76,破損なし,染みなし,◯,履歴なし,353419576220648,28600,0,28600,55980,在庫,S出品済,,,,"バッテリー -2,000円",2026/01/20
1986,2026-01-20,福井店,福井店,堀,13mini,256,並品,78,破損なし,染みなし,◯,履歴なし,353410575541986,18600,0,18600,50980,在庫,S出品済,,,,"電源ボタン反応鈍い -2,000円で買取→IPAで改善済み

バッテリー -2,000円
",2026/01/21
8152,2026-01-22,福井店,WEB,堀,8,64,良品,82,破損なし,染みなし,◯,履歴なし,356732088778152,4200,0,4200,9980,在庫,,,,,"バッテリー -2,000円",2026/01/22
1508,2026-01-22,鯖江店,WEB,堀,13ProMax,128,美品,78,破損なし,染みあり,◯,履歴なし,351884705701508,39000,0,39000,84980,在庫,,,,,"バッテリー -2,000円
シミ -3,000円",2026/01/22
5813,2026-01-22,福井店,WEB,堀,13Pro,256,美品,87,破損なし,染みなし,◯,履歴なし,356885192165813,51300,0,51300,83980,在庫,,,,,"バッテリー -1,000円",2026/01/22
807,2026-01-24,福井店,福井店,堀,12mini,256,リペア品,79,破損なし,染みなし,◯,履歴あり,353010111370807,10000,4400,14400,33980,在庫,,,,,,
806,2026-01-24,鯖江店,鯖江店,土本,SE2,64,リペア品,80,破損なし,染みなし,◯,履歴なし,356495196760806,5000,0,5000,16980,在庫,S出品済,,,,"上スピーカー改善あり、並品として出品
バッテリー-1,000",2026/01/27
9050,2026-01-25,鯖江店,鯖江店,龍田,11,128,良品,74,破損なし,染みあり,◯,履歴なし,352927116339050,10800,0,10800,33980,在庫,S出品済,,,,"シミ-1,000
バッテリー-2,000",2026/01/27
6627,2026-01-25,福井店,鯖江店,龍田,12Pro,256,並品,84,破損なし,染みあり,◯,履歴なし,356688114396627,16000,0,16000,48980,在庫,,,,,"画面の傷が深いためバッテリーサービス状態として買取
シミ多 -3,000円
バッテリー -1,000円",2026/01/28
1213,2026-01-25,鯖江店,鯖江店,龍田,13Pro,256,並品,80,破損なし,染みなし,◯,履歴なし,351803610881213,29600,0,29600,71980,在庫,S出品済,,,,"画面の傷が深いため、バッテリーをサービス状態として買取
バッテリー-1,000",2026/01/27
2215,2026-01-27,鯖江店,WEB,堀,SE3,64,並品,84,破損なし,染みなし,◯,履歴なし,350158426052215,14400,0,14400,31980,在庫,S出品済,,,,"バッテリー-1,000",2026/01/28
4104,2026-01-28,鯖江店,鯖江店,土本,12,64,美品,81,破損なし,染みなし,◯,履歴なし,353560900614104,22500,0,22500,38980,在庫,S出品済,,,,"バッテリー-1,000",2026/01/28
5552,2026-01-28,福井店,福井店,堀,12,64,並品,79,破損なし,染みなし,◯,履歴なし,353905992465552,13000,0,13000,33980,在庫,,,,,"バッテリー -2,000円",2026/01/28
6852,2026-01-30,福井店,福井店,堀,8,64,美品,100,破損なし,染みなし,◯,履歴あり,352995090446852,2000,0,2000,12980,在庫,,,,,最低買取価格にて買取,
5397,2026-01-30,鯖江店,鯖江店,龍田,11,64,並品,75,破損なし,染みあり,◯,履歴なし,352914110785397,7000,0,7000,26980,在庫,,,,,カメラ染み小,
647,2026-01-30,鯖江店,鯖江店,龍田,11,64,並品,75,破損なし,染みなし,◯,履歴なし,352919114560647,11000,0,11000,24980,在庫,,,,,"バッテリー-2,000",2026/01/31
